name,lat,lon
Carn Lês Boel,50.0502536,-5.6934768
Ailsa Holy Well,50.0690504,-5.6446096
Boscawen-un,50.0898533,-5.6193244
St Mary's Penzance,50.1163886,-5.5329359
St Michael's Mount,50.1169458,-5.4778862
Roundwood Camp,50.2239273,-5.0329828
Old Kea,50.2359998,-5.0243139
St Michael Penkevil,50.2404671,-5.0054312
Truro Cathedral,50.2641344,-5.051254
Lostwithiel,50.4073825,-4.6691304
St Pinnock,50.4412924,-4.5355725
St Neot,50.4824118,-4.558323
St Cleer Well,50.4877331,-4.4695902
Resugga Castle,50.3230254,-4.8953533
St Neot Holy Well,50.4839205,-4.5617643
Brentor,50.603036,-4.1521507
Mary Tavy,50.5894116,-4.1074598
Milton Abbot,50.5914754,-4.251532
Wistman's Wood,50.5783178,-3.9613438
Throwleigh,50.7013233,-3.8880444
Gidleigh,50.6798964,-3.883101
Spinsters Rock,50.7021251,-3.8409367
The Blind Fiddler,50.0978925,-5.6016004
Prestonbury Castle,50.6961994,-3.7759495
Fringle Bridge,50.6954518,-3.780992
Dunsford,50.6899467,-3.684293
Crediton,50.7893002,-3.6521816
Creech St Michael,51.0223802,-3.0355954
Stoke St Gregory,51.0399705,-2.9311877
"St Michael, Othery",51.080537,-2.8831387
Burrowbridge Mump,51.070459,-2.9160438
Glastonbury Tor,51.1449078,-2.6981521
Wearyall Hill,51.1411317,-2.7246308
Pilton,51.1651293,-2.5898659
Shepton Mallet,51.1909804,-2.5455934
Near Batcombe,51.1496594,-2.4445438
Stoke St Michael,51.2210036,-2.4818158
Orchardleigh Stones,51.2545863,-2.3410427
The Devils Bed and Bolster,51.2788302,-2.2668743
Bowerhill,51.3566111,-2.1179581
Bishops Cannings,51.3766962,-1.947155
The Sanctuary,51.4111187,-1.8311548
Silbury Hill,51.4156958,-1.8574512
Windmill Hill,51.4413293,-1.8758297
Ogborne St George,51.4630984,-1.7038035
Bishopstone,51.5518859,-1.6499662
Farnborough,51.5346775,-1.3740849
Uffington,51.6019094,-1.5650314
Dinton Folly,51.797411,-0.8913571
Ivinghoe Beacon,51.8417702,-0.6080246
Dunstable Priory,51.8860477,-0.5178058
"Waulud's Bank, Luton",51.9100465,-0.4580784
The Roystone and Templar Cave,52.0482909,-0.024628
Wandlebury Ring,52.1587762,0.1828247
Bury St Edmunds Abbey,52.2440153,0.7187462
Eye,52.3200878,1.1501098
Hoxne,52.3521972,1.2015438
Weybread,52.373215,1.2907004
Hales,52.5106579,1.5110493
Wheatachre,52.4878829,1.6227096
Beccles,52.4585198,1.5613568
Cheesewring,50.5260941,-4.4594407
St Margaret's Hopton-on-Sea,52.5387871,1.7295447
The Hurlers Stone Circle,50.5169161,-4.4579226
Dorchester Big Rings Henge,51.6530361,-1.1732733
"St Michael, Carn Brae, Redruth",50.2224171,-5.2448371
Avebury,51.4270878,-1.8532133
Olivers Castle,51.3809954,-2.0000884
"Sinoden Hill, Wittenham Clumps",51.6283324,-1.17937
Somerleyton Hall,52.5221585,1.6724029
The Pipers Lamorna,50.0719926,-5.6003827
Middlezoy,51.0937694,-2.8943235
Avebury 2,51.4298689,-1.8552947
Brentor 3,50.6041833,-4.164843
Brentor,50.6032743,-4.1624558
"St Michaels, Clifden Hampden",51.6558916,-1.2105346
Dartmoor,50.6078023,-4.0442991
Dartmoor,50.607673,-4.042604
Dawn at Hopton-on-Sea,52.5440317,1.7352927
"Round Hill, Wittenham Clumps",51.630392,-1.1827898
Doulting,51.1863154,-2.5076562
Marlborough Mound,51.4166526,-1.7372346
Druid's Cross,50.4214867,-4.6386914
St Michael's Mount,50.1281307,-5.5025196
"The Holy Cross, Crediton",50.7896665,-3.6521709
Durston,51.0479251,-3.0128556
Hittisleigh,50.7447605,-3.796227
"Holy Well, Doulting",51.1870416,-2.5091556
Culm Head Hill Fort,50.9445506,-3.1195056
Lane on Dartmoor,50.5552296,-3.9431262
Leedstown,50.1635426,-5.3502265
Letcombe Regis,51.5758402,-1.4526495
Lezant,50.587799,-4.348534
Mells,51.2420581,-2.3911652
Menacuddle Sacred Spring,50.3454946,-4.7957361
Dunterton,50.5907534,-4.2959172
Near Glastonbury,51.1403441,-2.701757
Hopton-on-sea,52.5333493,1.7391443
Kings Hill near Glastonbury,51.1432654,-2.5822377
St. Michael Church,51.0651062,-2.9974732
Perran-ar-worthal,50.2086314,-5.1138514
Priest Hill,51.1164683,-2.8054404
"St Michael's Chapel, Roche Rock",50.4022539,-4.8283625
Syleham,52.3642634,1.2370294
Small Down Lane,51.1645171,-2.4757218
St Cleer,50.486948,-4.4715267
St Germoe,50.1157402,-5.3790817
"St Katherines, Ickleford",51.9706815,-0.2802372
St Mary's Ashby,52.5322137,1.669364
St Mary's Ditchingham,52.4781736,1.4292043
St Michael's Mount,50.1152121,-5.453124
St Michael South Elmham from St Margaret South Elmham,52.4022094,1.4054346
Stoke St Mary,50.9957138,-3.0476975
Sunrise at Clifden Hampden,51.6547667,-1.2112641
The road to Roundwood Camp,50.2244833,-5.0332189
View from Maesdown Hill,51.1645574,-2.5080559
View from Small Down Knoll,51.1638039,-2.4797666
The Dewpond on Small Down Knoll,51.1638173,-2.4754214
Wearyall Hill,51.1412057,-2.724309
Round Hill Wittenham Clump,51.6281143,-1.1828756
Tumulus and Cross Near South Fawley,51.5211243,-1.4263559
Trull,50.9937437,-3.1180733
The Way to Wistman's Wood,50.5681244,-3.9612794
Lane Near Stoke St Michael,51.2169514,-2.4813652
Trowbridge,51.3215005,-2.2074044
Trencrom Hill,50.3468845,-4.8324394
Dartmoor,50.650236,-3.9482331
Wittenham Clump Earthworks,51.6285006,-1.181159
Dorchester Abbey,51.6355197,-1.167984
Didcot Power Station,51.6236119,-1.2644577
